port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog,max_sog,fuel_total_kg,fuel_per_nm,energy_kwh_total,energy_kwh_prod,energy_kwh_net,peak_kw,peak_time,whr_total_prod,whr_total_cons,whr_util_rate
"Miami, Florida","Charlotte Amalie, St. Thomas",2025-08-09 21:35:00+00:00,2025-08-12 11:50:00+00:00,62.25,989.8530553333333,15.893114969251338,21.006667,299984.11954141664,303.0592449304477,787923.9722266666,1916167.3805557499,-1128243.4083290831,1028.4733350000001,2025-08-12 00:00:00+00:00,1286291.953303,364376.69240475,58.49614909491978
"Miami, Florida","Charlotte Amalie, St. Thomas",2025-08-30 21:00:00+00:00,2025-09-02 11:40:00+00:00,62.666666666666664,989.5347206666665,15.779416420424402,21.193333,275969.15572175,278.88779439272713,812365.0861138334,1753905.4972237498,-941540.4111099164,1019.710002,2025-08-31 13:15:00+00:00,1179717.9431344166,248165.25029174998,37.89696919496021
"Miami, Florida","Charlotte Amalie, St. Thomas",2025-09-20 23:05:00+00:00,2025-09-23 12:00:00+00:00,60.916666666666664,1026.6780551666666,16.849549173497266,20.573333,308560.6023105,300.54270738299704,786959.1250041667,1987350.1916683333,-1200391.0666641665,1038.033333,2025-09-21 17:25:00+00:00,1336113.4332065831,365609.8087123333,54.244802422131144
