port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog,max_sog,fuel_total_kg,fuel_per_nm,energy_kwh_total,energy_kwh_prod,energy_kwh_net,peak_kw,peak_time,whr_total_prod,whr_total_cons,whr_util_rate
"Philipsburg, St. Maarten","Charlotte Amalie, St. Thomas",2025-08-05 22:10:00+00:00,2025-08-06 10:45:00+00:00,12.583333333333334,117.60111058333334,9.323157855263158,15.113333,35980.906416583326,305.95719919742504,145764.09444416664,201577.79999983334,-55813.705555666704,927.746666,2025-08-05 22:15:00+00:00,141472.2163776667,52058.72353333333,41.241685282894736
"Philipsburg, St. Maarten","Charlotte Amalie, St. Thomas",2025-08-26 22:15:00+00:00,2025-08-27 10:55:00+00:00,12.666666666666666,117.34583366666666,9.24884533986928,13.246667,37921.83855758334,323.16305890590337,150752.68333591666,207822.14444499998,-57069.46110908332,884.350001,2025-08-26 22:15:00+00:00,148904.3430015833,71014.87885233334,43.595490503267975
"Philipsburg, St. Maarten","Charlotte Amalie, St. Thomas",2025-09-16 23:00:00+00:00,2025-09-17 11:15:00+00:00,12.25,116.70611108333333,9.52277027027027,13.406667,36884.74535616668,316.0481059113463,139169.58888908333,202719.297222,-63549.70833291666,926.103334,2025-09-17 04:50:00+00:00,149473.22710716666,62983.732361999995,49.03304767567568
