port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog,max_sog,fuel_total_kg,fuel_per_nm,energy_kwh_total,energy_kwh_prod,energy_kwh_net,peak_kw,peak_time,whr_total_prod,whr_total_cons,whr_util_rate
"Cozumel, Mexico","CocoCay, Bahamas",2025-08-20 23:10:00+00:00,2025-08-22 11:20:00+00:00,36.166666666666664,642.5477785833332,17.740268220689657,22.47,173261.55383433332,269.64773610506336,481583.72778225,1098505.2416669999,-616921.51388475,1086.850001,2025-08-21 17:10:00+00:00,737317.5597984167,220442.49143483333,61.94961537471265
"Cozumel, Mexico","CocoCay, Bahamas",2025-09-10 23:05:00+00:00,2025-09-12 11:40:00+00:00,36.583333333333336,646.39166675,17.641522729545454,23.0,179743.87231049998,278.0726942447081,480410.0250008333,1130274.8166675833,-649864.79166675,1016.61,2025-09-11 16:10:00+00:00,791985.4625094166,221383.2399055,54.493538627272734
"Cozumel, Mexico","CocoCay, Bahamas",2025-10-02 07:45:00+00:00,2025-10-03 18:00:00+00:00,34.25,595.0263885,17.344708725728157,25.24,228930.58591650001,384.7402238640379,433497.5333341666,1440215.7638884163,-1006718.2305542497,1229.4966659999998,2025-10-02 15:20:00+00:00,975859.5956759166,259337.13553816662,39.26092767718447
