port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog,max_sog,fuel_total_kg,fuel_per_nm,energy_kwh_total,energy_kwh_prod,energy_kwh_net,peak_kw,peak_time,whr_total_prod,whr_total_cons,whr_util_rate
"Charlotte Amalie, St. Thomas","San Juan, Puerto Rico",2025-08-12 22:25:00+00:00,2025-08-13 11:00:00+00:00,12.583333333333334,134.09749991666666,10.64616227631579,12.8,39250.86827125,292.7039526884692,147475.13055616667,226973.46111091666,-79498.33055474999,897.563334,2025-08-13 01:50:00+00:00,164033.30096458332,54290.017679,31.005706552631576
"Charlotte Amalie, St. Thomas","San Juan, Puerto Rico",2025-09-02 22:25:00+00:00,2025-09-03 10:50:00+00:00,12.416666666666666,132.74333324999998,10.676955546666667,12.4,38561.092132833335,290.4936254705156,146527.34999975,222383.93888891663,-75856.58888916663,882.226667,2025-09-02 23:25:00+00:00,158529.92045183334,69410.15056791667,64.47178201333334
"Charlotte Amalie, St. Thomas","San Juan, Puerto Rico",2025-09-23 22:20:00+00:00,2025-09-24 11:00:00+00:00,12.666666666666666,133.14305524999997,10.48209147712418,13.356667,40085.26571616667,301.0691443192391,144464.21944433334,224844.68055483332,-80380.46111049998,929.246666,2025-09-23 22:25:00+00:00,165096.16334708332,54253.3787055,37.37321226143791
