port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog,max_sog,fuel_total_kg,fuel_per_nm,energy_kwh_total,energy_kwh_prod,energy_kwh_net,peak_kw,peak_time,whr_total_prod,whr_total_cons,whr_util_rate
"Costa Maya, Mexico","Roatan, Honduras",2025-08-18 22:25:00+00:00,2025-08-19 13:05:00+00:00,14.666666666666666,167.13750025,11.370113011299434,13.6,50469.84627141667,301.96602316012365,172847.90555708332,283148.4861108333,-110300.58055374998,921.49,2025-08-19 01:10:00+00:00,214620.25162508333,87578.69322916667,50.84270813559322
"Costa Maya, Mexico","Roatan, Honduras",2025-09-08 22:25:00+00:00,2025-09-09 13:15:00+00:00,14.833333333333334,166.66722208333331,11.211340770949722,13.686667,51414.56169158333,308.4863421187649,178708.3777775,295010.21944458334,-116301.84166708335,879.526665,2025-09-09 02:55:00+00:00,222549.620104,109280.634526,63.21017494413408
"Costa Maya, Mexico","Roatan, Honduras",2025-09-29 22:40:00+00:00,2025-09-30 13:10:00+00:00,14.5,166.3947220833333,11.4591238,13.0,49231.91384458333,295.8742514677067,169052.36666633334,283539.57500016666,-114487.20833383332,950.496668,2025-09-30 00:25:00+00:00,215473.46659941663,88373.37642866664,57.26707540000001
