port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog,max_sog,fuel_total_kg,fuel_per_nm,energy_kwh_total,energy_kwh_prod,energy_kwh_net,peak_kw,peak_time,whr_total_prod,whr_total_cons,whr_util_rate
"Roatan, Honduras","Cozumel, Mexico",2025-08-19 22:25:00+00:00,2025-08-20 13:05:00+00:00,14.666666666666666,264.1519443333333,17.9544067740113,22.24,83715.97128183332,316.923547517758,187702.39722375,515987.5166666666,-328285.1194429166,1018.433334,2025-08-20 04:45:00+00:00,376332.94570541667,88892.16082183333,39.937212858757064
"Roatan, Honduras","Cozumel, Mexico",2025-09-09 22:40:00+00:00,2025-09-10 13:10:00+00:00,14.5,264.5447215833333,18.181238051428572,21.623333,86407.77874758333,326.62824731645355,190287.50833399998,532857.2055546667,-342569.6972206667,978.166665,2025-09-10 03:10:00+00:00,384747.64678266656,107166.44071733333,40.95548808
"Roatan, Honduras","Cozumel, Mexico",2025-09-30 22:45:00+00:00,2025-10-01 13:15:00+00:00,14.5,265.4011115,18.23350478857143,22.326667,84644.59396566666,318.93081941997315,181091.30000166665,529739.8666670832,-348648.5666654166,1056.4766670000001,2025-10-01 00:10:00+00:00,369843.001772,73680.11258666666,35.05975785142857
