port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog_kn,max_sog_kn,fuel_total_tonnes,fuel_tonnes_per_nm,fuel_by_signal_Total_Fuel_Consumption_LNG_eq__tonnes,fuel_by_signal_Total_LNG_Consumption_tonnes,fuel_by_signal_Total_MGO_Consumption_tonnes,fuel_by_signal_Total_Auxiliary_Boiler_Fuel_Consumption_tonnes,energy_mwh_total,energy_mwh_prod,energy_mwh_net,peak_kw,peak_time,whr_total_prod_mwh,whr_total_cons_mwh,whr_util_rate_percent,whr_loss_Total_WHR_Losses_HT_Dump_mwh,whr_loss_Total_WHR_Losses_Steam_Dump_mwh,whr_consumer_WHR_Absorption_Chiller_mwh,whr_consumer_WHR_Condensate_Heater_mwh,whr_consumer_WHR_Evaporators_mwh,whr_consumer_WHR_Laundry_mwh,whr_consumer_WHR_Potable_Water_Heating_mwh,whr_consumer_WHR_AC_Reheating_mwh,whr_consumer_WHR_Other_Uses_mwh,relative_wind_speed_kn,relative_wind_direction_deg,true_north_wind_speed_kn,target_fuel_tonnes,target_lng_tonnes,target_electricity_mwh,target_whr_mwh,Avg_ME_1_Load_avg_load_percent,Avg_ME_2_Load_avg_load_percent,Avg_ME_3_Load_avg_load_percent,Avg_ME_4_Load_avg_load_percent,Avg_ME_5_Load_avg_load_percent,Avg_ME_6_Load_avg_load_percent
"Miami, Florida","Philipsburg, St. Maarten",2025-05-03T21:15:00+00:00,2025-05-06T12:15:00+00:00,63.0,1089.053,17.286560984147954,20.54,4276.5997362299995,,4276.5997362299995,1139.9446533180003,0.0,4.643435251,784.8698027794999,2188.8200611118336,-1403.9502583323338,1083.683331,2025-05-04T16:05:00+00:00,,505.5664857515833,58.41613791809775,318.79432896224995,134.711008642,0.0,31.60651667675,201.12655330175002,9.188743728416666,86.28426140091668,124.52513145033335,56.84792657025,31.509546480845444,237.62483487450461,16.384398977542933,4174.439605955,2722.9079088420003,757.1517100239166,459.6853806760001,40.03606781109643,43.75309115455746,0.0,22.440383095112285,63.2372435006605,65.77682519418758
"Miami, Florida","Philipsburg, St. Maarten",2025-05-17T21:25:00+00:00,2025-05-20T12:25:00+00:00,63.0,1172.19,18.606182918205803,22.213333,4658.066159045,,4658.066159045,2960.242953324,0.0,4.577764289,799.2009250062499,2442.4786055579166,-1643.2776805516667,1111.443333,2025-05-18T00:55:00+00:00,,576.0457143410001,59.22035788654354,334.1679351152501,122.6997050725,182.5323737964167,29.668386962,171.21282769516665,8.192628618333334,92.50899488299999,116.38921066483331,14.502664757333331,27.440817926121376,234.79841688654355,11.459248025065962,4603.575087319,2994.279226066,756.9701681472501,323.5043432251667,0.17145118733509235,60.829920849604214,82.08167546042216,26.070285840369397,0.0,82.6335356187335
"Miami, Florida","Philipsburg, St. Maarten",2025-05-31T21:15:00+00:00,2025-06-03T12:00:00+00:00,62.75,1087.319,17.3277866005291,23.52,4600.887006369,,4600.887006369,4399.5839000000005,0.0,5.443361042,790.3293055594166,2183.032483332917,-1392.7031777735,1098.963336,2025-05-31T21:55:00+00:00,,395.23789681141665,52.59547794708993,313.5243486265,90.21309790091667,173.1371097806667,28.810462719916668,8.904210801749999,8.17916407375,62.989010875333335,110.69555783058335,15.95529407166667,26.607980591269847,152.27513227513228,15.056164025132276,4106.191474447,2317.321885956,771.4923601891668,372.89900678916666,86.89339066269841,0.29164021164021164,1.0489770727513228,86.3923809563492,15.096688707671959,41.33641975661376
"Miami, Florida","Philipsburg, St. Maarten",2025-06-28T21:35:00+00:00,2025-07-01T11:55:00+00:00,62.333333333333336,1085.751,17.418469074766357,20.516667,4172.147015726,,4172.147015726,3662.5937033210002,0.0,5.830252130999999,766.2517055589166,2242.7888222218335,-1476.537116662917,1073.896667,2025-06-30T16:40:00+00:00,,382.5063256115,50.64488443391188,338.47959272916665,124.0945302865833,172.01520765016667,28.537655249083333,6.279192627416666,8.532852441083332,75.03234481016668,112.71490064491668,3.7694577346666667,31.81717400934579,270.11451268357814,16.945611914552735,4196.732453984,2326.846975757,762.0509828413334,366.7231789239167,51.18411216154874,0.5687405433911883,32.97817089319092,0.0,84.03717844726302,72.28109033377837
"Miami, Florida","Philipsburg, St. Maarten",2025-07-12T21:10:00+00:00,2025-07-15T12:05:00+00:00,62.916666666666664,1086.386,17.26706346693122,21.55,4014.370227054,,4014.370227054,3317.432303329,0.0,6.651833332,796.1529027803334,2119.9814944438335,-1323.8285916635,1008.3866660000001,2025-07-13T15:15:00+00:00,,391.27680681649997,51.735599022486774,320.6860687741667,125.74506988808334,165.63687719141666,28.858669020999997,10.570666080166665,8.088096117583333,86.80988909475,112.43991020633334,5.052508845666667,30.44735450132275,283.79312169312163,15.035110231481482,4002.557585125,2323.0103078760003,767.9010568450834,490.39796066133334,25.56097441798942,62.129717801587304,0.0,33.85047178439153,69.56621691931217,33.79491623544973
"Miami, Florida","Philipsburg, St. Maarten",2025-07-19T21:20:00+00:00,2025-07-22T12:05:00+00:00,62.75,1086.714,17.318157671484887,19.63,4058.8452057619998,,4058.8452057619998,3025.225595288,0.0,5.8897466629999995,799.4055389840001,2150.3198232139166,-1350.9142842299166,1038.570001,2025-07-21T16:00:00+00:00,,367.0923164202499,47.15369874666666,374.92459978249997,141.23476961366666,168.73502397750002,30.041404448416667,0.0,8.23977046225,82.87328620233333,111.24626021116664,5.467868857583333,29.597176232588698,330.15210249671486,14.457965617608412,4075.999432267,2235.719923291,762.7029472225834,488.5285265335834,85.30651221866667,0.9163955560000001,0.009008889333333334,28.923173329333334,57.981004522666666,58.565970252
"Miami, Florida","Philipsburg, St. Maarten",2025-08-02T21:55:00+00:00,2025-08-05T12:05:00+00:00,62.166666666666664,1084.474,17.444627402945112,20.94,4105.2412657840005,,4105.2412657840005,3982.8563200070002,15.044553325,5.911213326,813.54571111525,2171.43179166575,-1357.8860805505,1050.7699989999999,2025-08-03T18:15:00+00:00,,515.7028377935,58.58130393172691,276.64876873475,81.45428277574999,154.70830570533334,29.445064597166667,205.68797991066668,8.060919335333333,77.06125012941666,105.831517592,2.0842449030833334,31.04830880187416,165.00481927710845,16.11691209103079,4110.862251058,2098.008805313,784.0047933975001,442.105058411,23.231508262382864,62.586291827309246,0.0,85.2866577416332,0.0,64.50481481258366
"Miami, Florida","Philipsburg, St. Maarten",2025-08-23T21:05:00+00:00,2025-08-26T12:25:00+00:00,63.333333333333336,1088.504,17.186898818659657,21.19,4298.614417724,,4298.614417724,3864.5925066790005,14.235694668,4.35299,812.00593333425,2280.5947527756666,-1468.5888194414165,1099.813332,2025-08-24T16:00:00+00:00,,352.250773011,43.18811061235216,413.74961126833335,146.85425840750003,154.18424863441666,27.031543918916668,0.0,8.128612166,64.62604559016667,111.56035817458334,8.603175651833332,29.42961891327201,220.48770039421817,16.34916338896189,4261.518356999,2167.348311556,796.379963134,578.8577707942501,22.87185282785808,62.04940867674113,33.78953131668857,50.6818703455979,6.693942181340342,59.964770024967144
"Miami, Florida","Philipsburg, St. Maarten",2025-09-13T21:10:00+00:00,2025-09-16T12:00:00+00:00,62.833333333333336,1089.381,17.337631005284017,21.463333,4113.0382172770005,,4113.0382172770005,3935.357879993,17.456738666999996,4.365383335000001,813.1540638927501,2194.4061805553333,-1381.2521166625834,1041.906668,2025-09-14T16:55:00+00:00,,365.56957475350004,51.603735841479526,319.69514005033335,137.63141978899998,158.8837607665,25.799772139833337,0.0,7.584106105416667,70.94525343033334,106.891213534,6.426368447833333,25.763412595772785,205.38128137384413,12.932404220607662,4125.64376285,2236.921400105,788.8841001656666,625.1754766724167,0.0,25.053940996036985,59.80020696036988,28.01346984147952,61.936798763540295,57.70646852311757
"Miami, Florida","Philipsburg, St. Maarten",2025-10-04T21:15:00+00:00,2025-10-07T12:20:00+00:00,63.083333333333336,1140.789,18.08384346437995,21.2,4523.297796869,,4523.297796869,1818.649736657,14.501721335000003,5.5294866670000005,841.06727222525,2346.5968111105,-1505.5295388852498,1051.523333,2025-10-04T23:20:00+00:00,,430.4447785245,45.954234729551445,444.4809874833333,146.96673915091665,0.0,28.84178213225,206.22113219450003,7.309846820083333,77.97475583558334,110.51222062841667,7.884703905083334,24.870294635883905,235.08303430079155,10.399744953825858,4414.438110028001,2155.454423539,820.26641391125,576.1922057985835,84.13885224670184,6.384340366754618,0.0,76.50816182058047,83.96480651451188,0.4353869854881267
