port_from,port_to,voyage_start,voyage_end,voyage_duration_hours,distance_nm,avg_sog_kn,max_sog_kn,fuel_total_tonnes,fuel_tonnes_per_nm,fuel_by_signal_Total_Fuel_Consumption_LNG_eq__tonnes,fuel_by_signal_Total_LNG_Consumption_tonnes,fuel_by_signal_Total_MGO_Consumption_tonnes,fuel_by_signal_Total_Auxiliary_Boiler_Fuel_Consumption_tonnes,energy_mwh_total,energy_mwh_prod,energy_mwh_net,peak_kw,peak_time,whr_total_prod_mwh,whr_total_cons_mwh,whr_util_rate_percent,whr_loss_Total_WHR_Losses_HT_Dump_mwh,whr_loss_Total_WHR_Losses_Steam_Dump_mwh,whr_consumer_WHR_Absorption_Chiller_mwh,whr_consumer_WHR_Condensate_Heater_mwh,whr_consumer_WHR_Evaporators_mwh,whr_consumer_WHR_Laundry_mwh,whr_consumer_WHR_Potable_Water_Heating_mwh,whr_consumer_WHR_AC_Reheating_mwh,whr_consumer_WHR_Other_Uses_mwh,relative_wind_speed_kn,relative_wind_direction_deg,true_north_wind_speed_kn,target_fuel_tonnes,target_lng_tonnes,target_electricity_mwh,target_whr_mwh,Avg_ME_1_Load_avg_load_percent,Avg_ME_2_Load_avg_load_percent,Avg_ME_3_Load_avg_load_percent,Avg_ME_4_Load_avg_load_percent,Avg_ME_5_Load_avg_load_percent,Avg_ME_6_Load_avg_load_percent
"CocoCay, Bahamas","Miami, Florida",2025-07-18T21:20:00+00:00,2025-07-19T08:15:00+00:00,10.91666667,135.214,12.3860606,15.926667,511.4301841,,511.4301841,489.2436433,0,0.811739999,137.9650111,257.6052111,-119.6402,942.846666,2025-07-19T02:10:00+00:00,,59.02806856,55.49555264,29.36896432,23.91207833,27.35449185,3.618881819,0,1.673360324,23.08930794,18.30582451,0,8.745580856,163.3007576,12.73941918,503.0972567,338.544732,135.0058008,-1.934965064,71.72858586,6.089444462,0,0,71.73252525,6.736262629
"CocoCay, Bahamas","Miami, Florida",2025-07-25T21:50:00+00:00,2025-07-26T08:25:00+00:00,10.58333333,132.739,12.54223958,16.736667,505.1872389,,505.1872389,483.7576633,0,1.093586666,132.3075278,257.3707306,-125.0632028,924.1,2025-07-26T03:05:00+00:00,,57.58597786,57.34263201,28.7558998,22.42744508,24.03350393,3.834593998,0,1.381306364,17.44118798,17.66999628,0.849377621,8.17734375,199.3382813,11.64393227,500.0042606,354.16025,129.2190404,-20.79535415,72.69242188,0.036927086,7.341875,0.187369789,72.88661459,6.993359391
"CocoCay, Bahamas","Miami, Florida",2025-08-01T21:25:00+00:00,2025-08-02T05:00:00+00:00,7.583333333,131.382,17.32514496,24.98,740.1735232,,740.1735232,718.90097,1.153804664,0.5598,104.7530556,381.5433056,-276.79025,1457.543332,2025-08-01T23:05:00+00:00,,58.54320117,43.06656502,76.21682433,35.17246982,17.97112053,3.118080781,23.46404196,1.204143312,14.25513884,13.46924678,0.030910878,15.82163041,220.7641304,8.73427537,719.9151952,541.0947823,101.5164729,105.8433685,66.26112314,56.66221014,68.71800722,67.82557966,0,68.61942033
"CocoCay, Bahamas","Miami, Florida",2025-08-08T23:15:00+00:00,2025-08-09T08:10:00+00:00,8.916666667,133.929,15.02009258,19.983333,572.018376,,572.018376,553.0512167,0.954427998,0.546583333,108.1217528,293.9445417,-185.8227889,1023.83,2025-08-09T04:10:00+00:00,,49.56262739,45.11987607,41.42472044,25.41326033,21.14745019,3.469404092,0,1.319289913,13.15747573,15.45890321,2.42415624,9.136975278,260.15,14.40679012,552.6223157,328.2997778,110.1324124,102.1955559,6.909012333,70.67546295,0,0,72.11950619,70.7080864
"CocoCay, Bahamas","Miami, Florida",2025-08-15T21:25:00+00:00,2025-08-16T08:10:00+00:00,10.75,132.868,12.35979489,16.346667,490.0690118,,490.0690118,347.1942733,1.076060666,1.089163332,137.6879806,245.9008111,-108.2128306,911.143332,2025-08-15T22:55:00+00:00,,54.82209314,57.10611558,31.09306532,22.64621988,23.66800351,4.280081898,0,1.470680235,20.92411392,18.39657469,0.008640322,9.363153854,195.6684615,9.480666669,476.648909,355.076425,134.1231884,20.77294647,70.96723081,6.227794885,0,71.12394875,2.489974346,0
"CocoCay, Bahamas","Miami, Florida",2025-08-22T21:30:00+00:00,2025-08-23T08:25:00+00:00,10.91666667,135.264,12.39055552,17.353333,549.8677109,,549.8677109,528.6483233,2.076384,0.610200001,136.0416667,278.0724917,-142.030825,953.536666,2025-08-22T23:15:00+00:00,,57.8432586,55.50592738,32.82102625,27.45226563,22.82276409,4.029163917,0,1.63147458,14.71429859,18.76744877,3.085602059,18.17146465,165.9265152,8.332424235,530.1169533,355.2168563,134.8035878,85.13849822,0,71.57047982,6.512373735,17.92196967,0,72.64292923
"CocoCay, Bahamas","Miami, Florida",2025-08-29T21:30:00+00:00,2025-08-30T08:30:00+00:00,11,134.618,12.23799495,15.92,519.5485891,,519.5485891,496.8637633,1.457212663,0.713279998,134.5077194,263.7265111,-129.2187917,906.970001,2025-08-30T02:05:00+00:00,,34.85044335,37.08105838,47.9193914,30.36854445,0,4.940759824,0,1.43540904,22.16368255,19.06395449,0.039078728,15.7011278,208.0631579,14.20887219,498.8208199,357.7062712,138.0905633,93.93701259,0,73.85741855,2.441629068,6.594962414,75.28383459,0
"CocoCay, Bahamas","Miami, Florida",2025-09-12T21:30:00+00:00,2025-09-13T08:15:00+00:00,10.75,138.737,12.90576925,19.693333,555.2902929,,555.2902929,527.0867333,1.37439467,0.893760001,132.1855833,279.7543222,-147.5687389,961.706666,2025-09-12T23:55:00+00:00,,53.56772543,46.71522887,39.49067993,25.61753962,28.87703924,3.143393941,0,1.470001133,19.05476397,19.14992165,0,15.33823072,83.71723077,11.97841026,543.3222323,341.9682637,127.0163906,109.3546243,67.88179487,0,2.289615385,66.00043593,39.1346923,0
"CocoCay, Bahamas","Miami, Florida",2025-09-19T21:55:00+00:00,2025-09-20T08:30:00+00:00,10.58333333,131.979,12.47046876,16.246667,474.569627,,474.569627,449.7022333,1.960771333,0.714083334,128.2860806,235.0553944,-106.7693139,906.869999,2025-09-20T00:45:00+00:00,,56.86254966,70.88944225,18.7970719,18.37464662,22.4526288,3.748827513,0,1.327708731,13.43453971,17.72426312,2.615372681,10.77213543,95.676875,9.780625,452.0356973,335.517425,126.7151604,81.60237339,0,69.27536458,2.199791664,0,69.95174477,4.46494793
"CocoCay, Bahamas","Miami, Florida",2025-09-26T21:40:00+00:00,2025-09-27T08:40:00+00:00,11,134.207,12.20067673,19.2,568.7180975,,568.7180975,472.5826367,0.747426003,0.915426669,138.4127444,281.3452028,-142.9324583,1016.586666,2025-09-27T02:00:00+00:00,,57.60202349,48.0722388,40.47050396,23.61077855,27.25169788,4.138242521,0,1.406834656,22.06844096,18.21383197,0.299610492,7.935112812,241.7087218,7.863208,552.9706807,341.7243319,135.283561,-19.41718604,68.10769421,4.446466173,0,0,30.71230575,67.70934836
"CocoCay, Bahamas","Miami, Florida",2025-10-03T21:25:00+00:00,2025-10-04T08:20:00+00:00,10.91666667,134.958,12.36252523,16.63,510.703255,,510.703255,176.7643067,1.336468671,0.923016666,133.4107,247.5376639,-114.1269639,935.800001,2025-10-03T23:40:00+00:00,,39.94104147,37.73818848,55.78976777,23.05209874,0,4.655839795,0,1.066783326,16.32654492,19.68249421,1.412143559,7.525883841,144.2015909,16.02436871,487.2557351,330.2104203,131.7674678,85.23153275,1.923636364,0,70.19356062,48.585202,23.49689398,6.753232295
"CocoCay, Bahamas","Miami, Florida",2025-10-10T22:35:00+00:00,2025-10-11T08:10:00+00:00,9.583333333333334,134.24,14.00767244827586,19.4,586.602077839,,586.602077839,309.14676666299994,1.300405995,1.923223334,118.02253888941671,292.0807583335833,-174.05821944416658,1006.250001,2025-10-11T04:05:00+00:00,,64.09115387799999,54.761043155172416,39.9777106715,24.424832417416663,0.0,4.030827290416666,23.828119413083332,1.3717912220833333,22.64107543116667,19.055245430833327,0.918617202,20.963563189655172,218.82603448275862,13.131637931034481,564.832891718,337.115889425,114.68086002766665,89.94673621158333,0.0,3.495229879310345,69.49454027586206,45.430632206896554,63.2787069137931,24.4783333362069
"CocoCay, Bahamas","Miami, Florida",2025-10-10T22:35:00+00:00,2025-10-11T08:10:00+00:00,9.583333333333334,134.24,14.00767244827586,19.4,586.602077839,,586.602077839,309.14676666299994,1.300405995,1.923223334,118.02253888941671,292.0807583335833,-174.05821944416658,1006.250001,2025-10-11T04:05:00+00:00,,64.09115387799999,54.761043155172416,39.9777106715,24.424832417416663,0.0,4.030827290416666,23.828119413083332,1.3717912220833333,22.64107543116667,19.055245430833327,0.918617202,20.963563189655172,218.82603448275862,13.131637931034481,564.832891718,337.115889425,114.68086002766665,89.94673621158333,0.0,3.495229879310345,69.49454027586206,45.430632206896554,63.2787069137931,24.4783333362069
